MLS	price	Days on Market	Status	date
6380880	$650,000	3	ACTIVE	2022-04-11
6375317	$650,000	13	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6353333	$649,000▼	61	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6375666	$615,000	13	ACTIVE	2022-04-11
6367688	$610,000	31	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-11
6370739	$600,000	24	ACTIVE	2022-04-11
6368227	$599,900	28	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6362765	$599,000	40	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6363015	$599,000	40	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6379721	$592,900	5	ACTIVE	2022-04-11
6374040	$585,000	17	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6365734	$575,000	34	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6367261	$559,000	31	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6375659	$550,000	13	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-11
6364980	$550,000▲	35	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6368283	$535,000	28	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6378852	$650,000	6	ACTIVE	2022-04-11
6372839	$650,000▼	19	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6356833	$650,000▲	53	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6380125	$649,900	4	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6363139	$629,999	39	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6370353	$629,000	24	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6378335	$620,000	7	ACTIVE	2022-04-11
6379393	$619,900	5	ACTIVE	2022-04-11
6378236	$600,000	7	ACTIVE	2022-04-11
6374646	$600,000	15	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6366596	$599,900	32	ACTIVE	2022-04-11
6368935	$599,000	27	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6366593	$597,000▼	32	ACTIVE	2022-04-11
6377368	$589,900	10	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6367197	$589,000	31	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6379781	$584,990	5	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6372504	$575,000	19	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6369624	$575,000	26	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6379718	$559,900	5	ACTIVE	2022-04-11
6375579	$551,000▲	13	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6380990	$550,000	3	ACTIVE	2022-04-11
6373982	$550,000	17	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6363285	$550,000	39	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6378502	$549,999	7	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6377336	$546,000	10	ACTIVE	2022-04-11
6375294	$539,900	13	ACTIVE	2022-04-11
6372850	$525,000	19	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6371365	$525,000	22	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6347487	$520,000	74	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6355173	$649,900	57	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6380046	$640,000	4	ACTIVE	2022-04-11
6375212	$639,900	13	ACTIVE	2022-04-11
6380343	$635,000	4	ACTIVE	2022-04-11
6350834	$625,000	67	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6379666	$624,900	5	ACTIVE	2022-04-11
6374790	$606,000	14	ACTIVE	2022-04-11
6331019	$591,000	122	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6351964	$589,000	65	UCB (UNDER CONTRACT-BACKUPS)	2022-04-11
6366584	$588,000▼	32	ACTIVE	2022-04-11
6380659	$585,000	3	ACTIVE	2022-04-11
