MLS	address	baths	beds	sqft	City	Bedrooms	Bathrooms	Living SQFT	Lot Size	Subdivision	Year Built	Type
6375317	2422 E Winged Foot Drive, Chandler	2.5	5	2,884	Chandler	5	2.5	2,884	7,509	Cooper Commons 2 Parcel 6	2000	Single Family - Detached
6371035	1340 E Dana Place, Chandler	3	4	2,156	Chandler	4	3	2,156	11,299	Willis Ranch Unit 1	2001	Single Family - Detached
6353333	1263 W Lantana Drive, Chandler	2	4	2,116	Chandler	4	2	2,116	6,900	Stillwater Cove	1994	Single Family - Detached
6369431	2920 E Cedar Place, Chandler	2	4	2,356	Chandler	4	2	2,356	8,522	Riggs Ranch Meadows	2004	Single Family - Detached
6362926	5164 W Ross Drive, Chandler	2.5	4	2,341	Chandler	4	2.5	2,341	5,924	Harmon Ranch	1993	Single Family - Detached
6360396	970 N Cactus Way, Chandler	3	4	2,602	Chandler	4	3	2,602	6,804	Warner Ranch 4 Unit Two	1996	Single Family - Detached
6353098	6231 W Shannon Street, Chandler	2.75	5	2,765	Chandler	5	2.75	2,765	5,998	Warner Ranch 4 Unit Two	1995	Single Family - Detached
6368919	3700 S Acacia Drive, Chandler	2.5	4	2,287	Chandler	4	2.5	2,287	8,468	Waters Edge At Ocotillo	1990	Single Family - Detached
6353457	6320 S Wilson Drive, Chandler	2	4	2,085	Chandler	4	2	2,085	7,359	Cooper Commons	2001	Single Family - Detached
6367688	683 N Butte Avenue, Chandler	2	4	2,188	Chandler	4	2	2,188	7,719	Park Promenade Parcel 1 Amd	1994	Single Family - Detached
6370739	4153 E Gleneagle Drive, Chandler	2	3	2,232	Chandler	3	2	2,232	9,409	Sun Groves Parcel 13 Thru 16	2005	Single Family - Detached
6368227	1200 W Seagull Drive, Chandler	3	4	2,097	Chandler	4	3	2,097	5,489	Clemente Ranch Parcel 19	1996	Single Family - Detached
6362765	1577 E Megan Street, Chandler	2.5	4	2,072	Chandler	4	2.5	2,072	11,626	Superstition Ranch-Parcel 2	1997	Single Family - Detached
6363015	1332 W Blue Ridge Court, Chandler	2	4	1,803	Chandler	4	2	1,803	9,104	Ocotillo Lakes Parcel H	1998	Single Family - Detached
6365734	1013 E Sheffield Avenue, Chandler	2	4	2,108	Chandler	4	2	2,108	9,230	Provinces Parcel 7	1994	Single Family - Detached
6375333	2841 W Gail Drive, Chandler	2.5	4	2,267	Chandler	4	2.5	2,267	5,750	Autumn Lane	1994	Single Family - Detached
6367261	931 N Beck Court, Chandler	2	3	1,801	Chandler	3	2	1,801	5,991	Warner Ranch	1993	Single Family - Detached
6364980	638 E Springfield Place, Chandler	2.5	3	2,195	Chandler	3	2.5	2,195	3,878	Arizona Reflections Unit 2	2002	Single Family - Detached
6371857	1471 E Cindy Street, Chandler	2.5	3	1,875	Chandler	3	2.5	1,875	5,611	Springs Unit 2 Amd	1994	Single Family - Detached
6368283	821 E Kesler Lane, Chandler	2.75	4	2,167	Chandler	4	2.75	2,167	6,238	Monterey Vista	1995	Single Family - Detached
6356833	14226 N 14th Street, Phoenix	3.5	5	4,272	Phoenix	5	3.5	4,272	10,622	Legacy At The Pointe Lot 1-67 Tr A-N	1994	Single Family - Detached
6363139	26816 N 64th Lane, Phoenix	3.5	5	2,547	Phoenix	5	3.5	2,547	6,506	Mountainview Ranch	2003	Single Family - Detached
6349986	1626 W Nighthawk Way, Phoenix	2	3	2,209	Phoenix	3	2	2,209	6,600	Parcel 26 At Foothills Club West	1998	Single Family - Detached
6370047	1917 E Parkside Lane, Phoenix	2.5	3	2,452	Phoenix	3	2.5	2,452	4,950	Eagle Bluff 2	2004	Single Family - Detached
6366593	26735 N 65th Drive, Phoenix	2	3	1,845	Phoenix	3	2	1,845	7,496	Eagle Highlands North	2001	Single Family - Detached
6374646	3623 E Rocky Slope Drive, Phoenix	2.5	3	2,102	Phoenix	3	2.5	2,102	5,737	Mountain Park Ranch Unit 24	1996	Single Family - Detached
6361146	12611 S 41st Place, Phoenix	2	4	2,203	Phoenix	4	2	2,203	9,396	Center Court At Ahwatukee Phase 6 Lot 67-131 Tr A	1991	Single Family - Detached
6366596	20860 N 8th Street, Phoenix	2	3	2,073	Phoenix	3	2	2,073	12,182	Arroyo Rojo	1999	Single Family - Detached
6368935	16621 S 39th Way, Phoenix	2	4	2,162	Phoenix	4	2	2,162	6,261	Wilton Commons Lot 1-133 Tr A-F	1992	Single Family - Detached
6372861	3911 E Topeka Drive, Phoenix	2	3	1,752	Phoenix	3	2	1,752	5,463	Trovare	1996	Single Family - Detached
6356821	16646 S 38th Street, Phoenix	2	3	1,906	Phoenix	3	2	1,906	7,800	Wilton Commons Lot 1-133 Tr A-F	1990	Single Family - Detached
6367197	325 W Campo Bello Drive, Phoenix	2	3	2,210	Phoenix	3	2	2,210	7,116	Bellvue	1996	Single Family - Detached
6334868	6517 W Red Fox Road, Phoenix	2.5	5	2,230	Phoenix	5	2.5	2,230	6,250	Preserve At Boulder Mountain	2004	Single Family - Detached
6332851	2753 E Rockledge Road E, Phoenix	2.5	4	2,231	Phoenix	4	2.5	2,231	6,012	Mountain Park Ranch Parcel 37 Ph B Lt 1-131 Tr A B	1988	Single Family - Detached
6369624	2624 W Summerside Road, Phoenix	2	3	2,416	Phoenix	3	2	2,416	9,668	Citrus Mountain Estates	2003	Single Family - Detached
6363285	3832 E Carson Road, Phoenix	2	3	2,270	Phoenix	3	2	2,270	6,530	Pines At The Raven	2001	Single Family - Detached
6372850	2533 W Red Fox Road, Phoenix	2.5	4	2,206	Phoenix	4	2.5	2,206	5,280	Dynamite Mountain Ranch Section A2	2003	Single Family - Detached
6371365	42321 N 45th Drive, Phoenix	2.5	4	2,102	Phoenix	4	2.5	2,102	5,832	Anthem West Unit 1	2005	Single Family - Detached
6347487	8307 S 23rd Drive, Phoenix	3.5	4	2,326	Phoenix	4	3.5	2,326	6,325	Silva Mountain Unit 1	2010	Single Family - Detached
6366917	8915 S 7th Drive, Phoenix	2	4	2,199	Phoenix	4	2	2,199	6,710	Dobbins Crossing Phase 1	2003	Single Family - Detached
6333254	3929 E Carter Drive, Phoenix	2	3	2,020	Phoenix	3	2	2,020	6,913	Pines At The Raven	1998	Single Family - Detached
6355173	3928 S Pine Street, Tempe	3.5	5	2,580	Tempe	5	3.5	2,580	8,181	Tempe Gardens	1969	Single Family - Detached
