MLS	price	Days on Market	Status	date
6392889	$650,000	4	ACTIVE	2022-05-07
6382398	$650,000	25	ACTIVE	2022-05-07
6380880	$650,000	29	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6386642	$649,900▼	16	ACTIVE	2022-05-07
6311079	$642,000▼	197	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6389984	$629,900	10	ACTIVE	2022-05-07
6384936	$629,000▼	20	ACTIVE	2022-05-07
6395249	$625,000	1	ACTIVE	2022-05-07
6394917	$625,000	1	ACTIVE	2022-05-07
6384231	$625,000	22	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6392160	$610,000	6	ACTIVE	2022-05-07
6370739	$600,000	49	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6388074	$599,900	14	ACTIVE	2022-05-07
6379721	$592,900	30	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6383678	$590,000▲	22	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6395027	$589,000	1	ACTIVE	2022-05-07
6374040	$585,000	42	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6393868	$580,000	2	ACTIVE	2022-05-07
6375659	$550,000	38	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-05-07
6364980	$550,000▲	61	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6386223	$549,000▼	17	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6388258	$650,000	14	ACTIVE	2022-05-07
6377253	$650,000	35	ACTIVE	2022-05-07
6391772	$649,900	7	ACTIVE	2022-05-07
6389704	$645,000▲	10	ACTIVE	2022-05-07
6383456	$640,000	23	ACTIVE	2022-05-07
6391108	$639,900	8	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6383537	$630,000▲	23	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6370353	$629,000	50	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6388264	$625,000	14	ACTIVE	2022-05-07
6390832	$620,000	8	ACTIVE	2022-05-07
6383237	$620,000	23	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6390715	$619,900▼	9	ACTIVE	2022-05-07
6379393	$619,900	31	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-05-07
6383005	$614,000	23	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6387499	$610,000	15	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6378236	$600,000	33	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6383785	$599,000	22	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6395341	$596,000	1	ACTIVE	2022-05-07
6389896	$595,000	10	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6377368	$589,900	35	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6390346	$585,000	9	ACTIVE	2022-05-07
6379781	$584,990	30	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6382943	$575,000	24	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6366593	$574,000▼	58	ACTIVE	2022-05-07
6394134	$565,000	2	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6382130	$565,000	25	ACTIVE	2022-05-07
6388089	$559,000	14	ACTIVE	2022-05-07
6395832	$550,000	0	ACTIVE	2022-05-07
6393624	$550,000	3	ACTIVE	2022-05-07
6378502	$549,999	32	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6395287	$650,000	1	ACTIVE	2022-05-07
6384990	$625,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-05-07
6393533	$600,000	3	ACTIVE	2022-05-07
6391384	$599,000▼	8	ACTIVE	2022-05-07
6369170	$530,072▲	52	ACTIVE	2022-05-07
