MLS	price	Days on Market	Status	date
6376556	$650,000	3	ACTIVE	2022-04-03
6375317	$650,000	5	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6353333	$649,000▼	53	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6368907	$640,000	19	ACTIVE	2022-04-03
6375267	$630,000	5	ACTIVE	2022-04-03
6362926	$630,000▼	32	ACTIVE	2022-04-03
6368919	$619,900▲	19	ACTIVE	2022-04-03
6353457	$618,000▼	53	ACTIVE	2022-04-03
6367688	$610,000	23	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-03
6370739	$600,000	16	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6368227	$599,900	20	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6362765	$599,000	32	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6363015	$599,000	32	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6374040	$585,000	9	ACTIVE	2022-04-03
6377232	$580,000	2	ACTIVE	2022-04-03
6365734	$575,000	26	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6375333	$569,988	5	ACTIVE	2022-04-03
6367261	$559,000	23	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6375659	$550,000	5	ACTIVE	2022-04-03
6364980	$550,000▲	27	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6371857	$535,000▼	12	ACTIVE	2022-04-03
6368283	$535,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6372839	$650,000▼	11	ACTIVE	2022-04-03
6356833	$650,000▲	45	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6376727	$645,000	3	ACTIVE	2022-04-03
6363139	$629,999	31	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6377087	$625,000	2	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6370047	$610,000	17	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6374646	$600,000	7	ACTIVE	2022-04-03
6361146	$600,000	36	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6366596	$599,900	24	ACTIVE	2022-04-03
6368935	$599,000	19	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6366593	$597,000▼	24	ACTIVE	2022-04-03
6372861	$595,000	11	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6367197	$589,000	23	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6334868	$586,000	101	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6372504	$575,000	11	ACTIVE	2022-04-03
6369624	$575,000	18	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6373787	$565,000	9	ACTIVE	2022-04-03
6373982	$550,000	9	ACTIVE	2022-04-03
6363285	$550,000	31	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6377336	$546,000	2	ACTIVE	2022-04-03
6376930	$540,000	2	ACTIVE	2022-04-03
6375579	$536,880	5	ACTIVE	2022-04-03
6377204	$525,000	2	ACTIVE	2022-04-03
6372850	$525,000	11	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6371365	$525,000	14	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6347487	$520,000	66	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6355173	$649,900	49	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6375212	$639,900	5	ACTIVE	2022-04-03
6350834	$625,000	59	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6374790	$606,000	6	ACTIVE	2022-04-03
6331019	$591,000	114	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6351964	$589,000	57	UCB (UNDER CONTRACT-BACKUPS)	2022-04-03
6366584	$588,000▼	24	ACTIVE	2022-04-03
