MLS	address	baths	beds	sqft	City	Bedrooms	Bathrooms	Living SQFT	Lot Size	Subdivision	Year Built	Type
6392889	1610 E Whitten Street, Chandler	2	4	2,325	Chandler	4	2	2,325	9,766	Chandler Ranch Unit 1	1988	Single Family - Detached
6382398	2054 E Indian Wells Drive, Chandler	2	4	2,010	Chandler	4	2	2,010	7,020	Cooper Commons	2001	Single Family - Detached
6380880	5940 S White Place, Chandler	2	4	2,511	Chandler	4	2	2,511	8,065	Shadow Ridge	2004	Single Family - Detached
6386642	390 N Corsica Place, Chandler	2	4	2,182	Chandler	4	2	2,182	7,719	Sunset Cove	1996	Single Family - Detached
6311079	4571 W Toledo Street, Chandler	3	5	2,908	Chandler	5	3	2,908	4,957	Wild Tree	1995	Single Family - Detached
6389984	2841 W Gail Drive, Chandler	2.5	4	2,267	Chandler	4	2.5	2,267	5,750	Autumn Lane	1994	Single Family - Detached
6384936	1442 E Saragosa Street, Chandler	2.5	3	2,154	Chandler	3	2.5	2,154	7,200	Willis Ranch Unit 1	2000	Single Family - Detached
6395249	1753 E Boston Circle, Chandler	2.5	4	2,086	Chandler	4	2.5	2,086	4,931	Springs Unit 2 Amd	1994	Single Family - Detached
6394917	2170 E Augusta Avenue, Chandler	2	3	2,159	Chandler	3	2	2,159	10,681	Cooper Commons Parcel 1	1999	Single Family - Detached
6384231	2170 E Iris Drive, Chandler	2	3	2,127	Chandler	3	2	2,127	7,475	Redwood Estates	2004	Single Family - Detached
6392160	1750 E Camino Court, Chandler	2	3	1,915	Chandler	3	2	1,915	8,564	Grant	1989	Single Family - Detached
6370739	4153 E Gleneagle Drive, Chandler	2	3	2,232	Chandler	3	2	2,232	9,409	Sun Groves Parcel 13 Thru 16	2005	Single Family - Detached
6388074	2180 E Bellerive Place, Chandler	2.5	4	2,351	Chandler	4	2.5	2,351	7,018	Cooper Commons Parcel 1	2000	Single Family - Detached
6379721	6990 S Bell Place, Chandler	2	3	1,837	Chandler	3	2	1,837	10,337	Sun River Parcel C	2003	Single Family - Detached
6383678	6261 S Pearl Drive, Chandler	2.5	3	1,906	Chandler	3	2.5	1,906	5,456	Sun Groves	2006	Single Family - Detached
6395027	1293 W Cindy Street, Chandler	2	4	1,809	Chandler	4	2	1,809	13,591	Rialto Hills Two Lot 95-193 Tr A-D	1991	Single Family - Detached
6374040	1263 W Glenmere Drive, Chandler	2	4	1,908	Chandler	4	2	1,908	6,146	Crescent Village Lot 1-209 Tr A-C	1992	Single Family - Detached
6393868	1380 W Pelican Court, Chandler	3	4	2,053	Chandler	4	3	2,053	7,612	Clemente Ranch	1998	Single Family - Detached
6375659	13408 E Jupiter Way, Chandler	2	4	1,844	Chandler	4	2	1,844	7,131	Country Place At Chandler	1994	Single Family - Detached
6364980	638 E Springfield Place, Chandler	2.5	3	2,195	Chandler	3	2.5	2,195	3,878	Arizona Reflections Unit 2	2002	Single Family - Detached
6386223	1098 N Longmore Street, Chandler	2.5	3	1,786	Chandler	3	2.5	1,786	5,388	Hamilton Homes 2 At Andersen Springs 1-125 Tr A-J	1991	Single Family - Detached
6388258	3414 E Woodland Drive, Phoenix	2.5	4	2,316	Phoenix	4	2.5	2,316	6,782	Lakewood Parcel 12 Lot 1-132 Tr A-D	1988	Single Family - Detached
6377253	5219 W Desert Hollow Drive, Phoenix	2	4	1,998	Phoenix	4	2	1,998	7,114	Stetson Valley Parcels 2 3 4	2005	Single Family - Detached
6391772	2708 W Patagonia Way, Phoenix	2.5	4	1,965	Phoenix	4	2.5	1,965	5,342	Anthem Unit 43	2003	Single Family - Detached
6389704	22824 N 21st Street, Phoenix	2	3	2,050	Phoenix	3	2	2,050	6,932	Mountaingate Unit 1	1996	Single Family - Detached
6383456	3204 W Molly Lane, Phoenix	2.5	4	2,874	Phoenix	4	2.5	2,874	6,325	Arizona Hillcrest	2001	Single Family - Detached
6391108	19801 N 15th Place, Phoenix	2	3	1,883	Phoenix	3	2	1,883	6,430	Eagle Hills	1997	Single Family - Detached
6383537	3906 E Amberwood Drive, Phoenix	2	3	1,899	Phoenix	3	2	1,899	5,994	Lakewood Parcel 6 Lt 1-127 Tr A-D	1987	Single Family - Detached
6370353	4410 E Dry Creek Road, Phoenix	2.5	3	2,124	Phoenix	3	2.5	2,124	6,077	Crimson Mountain	1994	Single Family - Detached
6388264	1718 W Satinwood Drive, Phoenix	3	4	1,937	Phoenix	4	3	1,937	4,815	Foothills Club West Parcel 24	2014	Single Family - Detached
6390832	16853 S 30th Avenue, Phoenix	2.5	3	2,344	Phoenix	3	2.5	2,344	5,720	Foothills Reserve	2003	Single Family - Detached
6383237	718 W Muirwood Drive, Phoenix	3	5	3,002	Phoenix	5	3	3,002	12,179	Parcel 19b At Foothills Club West Lot 1-120 Tr A-G	1993	Single Family - Detached
6390715	16638 S 27th Avenue, Phoenix	2	3	1,962	Phoenix	3	2	1,962	6,445	Foothills Reserve Parcel D	2004	Single Family - Detached
6379393	3814 E Tanglewood Drive, Phoenix	3	4	2,035	Phoenix	4	3	2,035	5,502	Hamilton Homes At Lakewood	1991	Single Family - Detached
6383005	2940 W Glenhaven Drive, Phoenix	2.5	3	2,343	Phoenix	3	2.5	2,343	6,000	Foothills Reserve	2003	Single Family - Detached
6387499	4636 E Bighorn Avenue, Phoenix	2	4	1,873	Phoenix	4	2	1,873	6,800	Desert Breeze Lot 1-188 Tr A & Drainageway	1993	Single Family - Detached
6378236	16836 S 30th Avenue, Phoenix	2.5	4	2,343	Phoenix	4	2.5	2,343	5,885	Foothills Reserve Parcel C	2004	Single Family - Detached
6383785	1764 W Brookwood Court, Phoenix	3	3	2,180	Phoenix	3	3	2,180	5,275	Foothills Club West Parcel 17	2000	Single Family - Detached
6395341	910 E Blackhawk Drive, Phoenix	2	4	1,810	Phoenix	4	2	1,810	5,310	Eagle Summit Amd	1999	Single Family - Detached
6389896	3131 W Covey Lane, Phoenix	2.5	4	2,440	Phoenix	4	2.5	2,440	6,489	Foothills North 3	1999	Single Family - Detached
6377368	1024 W Beverly Lane, Phoenix	2.5	4	2,111	Phoenix	4	2.5	2,111	8,432	Moonlight Cove 3	1994	Single Family - Detached
6390346	3925 W Sandra Terrace, Phoenix	2	4	2,472	Phoenix	4	2	2,472	10,018	Brandywine Terrace	2004	Single Family - Detached
6379781	729 E Glenhaven Drive, Phoenix	3	4	2,303	Phoenix	4	3	2,303	7,000	Foothills Parcels 12a, B & C	1995	Single Family - Detached
6382943	4019 W Buckskin Trail, Phoenix	2.5	4	2,113	Phoenix	4	2.5	2,113	6,494	Stetson Hills Parcels 6 & 10b	1999	Single Family - Detached
6366593	26735 N 65th Drive, Phoenix	2	3	1,845	Phoenix	3	2	1,845	7,496	Eagle Highlands North	2001	Single Family - Detached
6394134	4108 E Tanglewood Drive, Phoenix	2	4	2,001	Phoenix	4	2	2,001	6,547	Remington Trace Lot 110-217 Tr A-F	1988	Single Family - Detached
6382130	2007 E Renee Drive, Phoenix	2	3	1,883	Phoenix	3	2	1,883	6,050	Mountain Rose Unit 3	1997	Single Family - Detached
6388089	1209 E Saint John Road, Phoenix	2.5	4	2,284	Phoenix	4	2.5	2,284	5,154	Candle Creek Unit 1	1994	Single Family - Detached
6395832	2557 W Bisbee Way, Phoenix	2	4	1,827	Phoenix	4	2	1,827	5,209	Anthem Unit 43	2003	Single Family - Detached
6393624	3341 E Nighthawk Way, Phoenix	3	4	2,299	Phoenix	4	3	2,299	5,493	Lakewood Parcel 18 Lot 1-134 Tr A-E	1988	Single Family - Detached
6378502	1227 E Villa Rita Drive, Phoenix	2.5	5	2,183	Phoenix	5	2.5	2,183	4,788	Winds Of North Canyon Unit 2 Lot 163-227	1990	Single Family - Detached
6395287	2134 E Watson Drive, Tempe	2	4	1,800	Tempe	4	2	1,800	7,294	Knoell Tempe	1978	Single Family - Detached
6384990	2404 E Geneva Drive, Tempe	2	4	2,241	Tempe	4	2	2,241	9,261	Tempe Royal Palms 8	1970	Single Family - Detached
6393533	129 E Fremont Drive, Tempe	2	3	1,880	Tempe	3	2	1,880	9,635	Tempe Gardens 3 Lot 180-320 Tr F	1964	Single Family - Detached
6391384	1302 E Ellis Drive, Tempe	2	3	1,852	Tempe	3	2	1,852	7,845	Tempe Gardens Unit 8	1970	Single Family - Detached
6369170	1924 E Loyola Drive, Tempe	2	3	1,762	Tempe	3	2	1,762	7,396	Knoell Tempe	1969	Single Family - Detached
