MLS	price	Days on Market	Status	date
6384936	$650,000	0	ACTIVE	2022-04-16
6380880	$650,000	8	ACTIVE	2022-04-16
6375317	$650,000	18	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6353333	$649,000▼	66	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6362513	$648,000▼	45	ACTIVE	2022-04-16
6362926	$630,000▼	45	ACTIVE	2022-04-16
6384231	$625,000	1	ACTIVE	2022-04-16
6367688	$610,000	35	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-16
6370739	$600,000	29	ACTIVE	2022-04-16
6383493	$599,900	2	ACTIVE	2022-04-16
6368227	$599,900	33	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6379721	$592,900	10	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6374040	$585,000	22	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6365734	$575,000	39	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6367261	$559,000	36	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6375659	$550,000	17	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-16
6364980	$550,000▲	40	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6371857	$535,000▼	25	ACTIVE	2022-04-16
6368283	$535,000	33	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6372839	$650,000▼	23	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6356833	$650,000▲	58	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6380125	$649,900	9	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6383456	$640,000	2	ACTIVE	2022-04-16
6370353	$629,000	29	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6383237	$620,000	3	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6378335	$620,000	12	ACTIVE	2022-04-16
6379393	$619,900	10	ACTIVE	2022-04-16
6383537	$607,000	2	ACTIVE	2022-04-16
6382365	$600,000	4	ACTIVE	2022-04-16
6378236	$600,000	12	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6374646	$600,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6366596	$599,900	37	ACTIVE	2022-04-16
6383785	$599,000	2	ACTIVE	2022-04-16
6366593	$592,000▼	37	ACTIVE	2022-04-16
6377368	$589,900	15	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6367197	$589,000	36	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6379781	$584,990	9	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6382943	$575,000	3	ACTIVE	2022-04-16
6372504	$575,000	24	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6382130	$565,000	5	ACTIVE	2022-04-16
6375579	$551,000▲	18	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6373982	$550,000	22	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6363285	$550,000	44	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6378502	$549,999	12	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6382825	$540,000	3	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6376930	$540,000	15	ACTIVE	2022-04-16
6375294	$539,900	18	ACTIVE	2022-04-16
6383903	$529,500	2	ACTIVE	2022-04-16
6377336	$527,000▼	15	ACTIVE	2022-04-16
6355173	$649,900	62	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6375212	$639,900	18	ACTIVE	2022-04-16
6350834	$625,000	72	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6331019	$591,000	127	UCB (UNDER CONTRACT-BACKUPS)	2022-04-16
6369170	$525,072	31	ACTIVE	2022-04-16
