MLS	price	Days on Market	Status	date
6375317	$650,000	0	ACTIVE	2022-03-29
6371035	$649,000	10	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6353333	$649,000▼	48	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6362926	$630,000▼	27	ACTIVE	2022-03-29
6360396	$630,000	32	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6362187	$625,900	28	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6353098	$624,900	49	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6353457	$618,000▼	48	ACTIVE	2022-03-29
6367688	$610,000	17	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-03-29
6370739	$600,000	11	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6368919	$599,900▼	14	ACTIVE	2022-03-29
6368227	$599,900	15	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6362765	$599,000	27	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6363015	$599,000	26	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6370258	$585,000	11	ACTIVE	2022-03-29
6365734	$575,000	21	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6375333	$569,988	0	ACTIVE	2022-03-29
6367261	$559,000	18	ACTIVE	2022-03-29
6364980	$550,000▲	22	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6371857	$535,000▼	7	ACTIVE	2022-03-29
6368283	$535,000	15	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6341769	$525,000▼	75	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6356833	$650,000▲	40	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6363139	$629,999	26	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6349986	$619,999	55	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6370047	$610,000	12	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6366593	$601,000	19	ACTIVE	2022-03-29
6361146	$600,000	31	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6366596	$599,900	19	ACTIVE	2022-03-29
6368935	$599,000	14	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6372861	$595,000	5	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6356821	$589,900	40	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6367197	$589,000	18	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6334868	$586,000	96	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6332851	$585,000	103	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6369624	$575,000	12	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6363285	$550,000	26	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6372850	$525,000	5	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6371365	$525,000	9	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6347487	$520,000	61	ACTIVE	2022-03-29
6366917	$515,000▼	19	ACTIVE	2022-03-29
6333254	$505,000	102	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6355173	$649,900	44	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6375212	$639,900	0	ACTIVE	2022-03-29
6350834	$625,000	54	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6374790	$606,000	1	ACTIVE	2022-03-29
6366584	$600,000	19	ACTIVE	2022-03-29
6331019	$591,000	109	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
6351964	$589,000	52	UCB (UNDER CONTRACT-BACKUPS)	2022-03-29
