MLS	price	Days on Market	Status	date
6375317	$650,000	1	ACTIVE	2022-03-30
6371035	$649,000	11	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6353333	$649,000▼	49	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6369431	$639,900	14	ACTIVE	2022-03-30
6362926	$630,000▼	28	ACTIVE	2022-03-30
6360396	$630,000	33	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6353098	$624,900	50	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6368919	$619,900▲	15	ACTIVE	2022-03-30
6353457	$618,000▼	49	ACTIVE	2022-03-30
6367688	$610,000	19	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-03-30
6370739	$600,000	12	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6368227	$599,900	16	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6362765	$599,000	28	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6363015	$599,000	28	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6365734	$575,000	22	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6375333	$569,988	1	ACTIVE	2022-03-30
6367261	$559,000	19	ACTIVE	2022-03-30
6364980	$550,000▲	23	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6371857	$535,000▼	9	ACTIVE	2022-03-30
6368283	$535,000	16	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6356833	$650,000▲	41	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6363139	$629,999	27	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6349986	$619,999	56	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6370047	$610,000	13	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6366593	$601,000	20	ACTIVE	2022-03-30
6374646	$600,000	3	ACTIVE	2022-03-30
6361146	$600,000	32	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6366596	$599,900	20	ACTIVE	2022-03-30
6368935	$599,000	15	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6372861	$595,000	7	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6356821	$589,900	41	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6367197	$589,000	19	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6334868	$586,000	97	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6332851	$585,000	104	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6369624	$575,000	14	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6363285	$550,000	27	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6372850	$525,000	7	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6371365	$525,000	10	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6347487	$520,000	62	ACTIVE	2022-03-30
6366917	$515,000▼	20	ACTIVE	2022-03-30
6333254	$505,000	103	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6355173	$649,900	45	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6375212	$639,900	1	ACTIVE	2022-03-30
6350834	$625,000	55	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6374790	$606,000	2	ACTIVE	2022-03-30
6366584	$600,000	20	ACTIVE	2022-03-30
6331019	$591,000	110	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
6351964	$589,000	53	UCB (UNDER CONTRACT-BACKUPS)	2022-03-30
