MLS	price	Days on Market	Status	date
6380880	$650,000	7	ACTIVE	2022-04-15
6375317	$650,000	17	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6353333	$649,000▼	65	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6362513	$648,000▼	44	ACTIVE	2022-04-15
6362926	$630,000▼	44	ACTIVE	2022-04-15
6384231	$625,000	0	ACTIVE	2022-04-15
6367688	$610,000	34	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-15
6370739	$600,000	28	ACTIVE	2022-04-15
6383493	$599,900	1	ACTIVE	2022-04-15
6368227	$599,900	32	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6379721	$592,900	9	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6374040	$585,000	21	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6365734	$575,000	38	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6367261	$559,000	35	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6375659	$550,000	16	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-15
6364980	$550,000▲	39	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6371857	$535,000▼	24	ACTIVE	2022-04-15
6368283	$535,000	32	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6372839	$650,000▼	22	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6356833	$650,000▲	57	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6380125	$649,900	8	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6383456	$640,000	1	ACTIVE	2022-04-15
6363139	$629,999	43	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6370353	$629,000	28	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6383237	$620,000	2	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6378335	$620,000	11	ACTIVE	2022-04-15
6379393	$619,900	9	ACTIVE	2022-04-15
6383537	$607,000	1	ACTIVE	2022-04-15
6382365	$600,000	3	ACTIVE	2022-04-15
6378236	$600,000	11	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6374646	$600,000	19	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6366596	$599,900	36	ACTIVE	2022-04-15
6383785	$599,000	1	ACTIVE	2022-04-15
6366593	$592,000▼	36	ACTIVE	2022-04-15
6377368	$589,900	14	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6367197	$589,000	35	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6334868	$586,000	113	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6379781	$584,990	8	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6382943	$575,000	2	ACTIVE	2022-04-15
6372504	$575,000	23	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6382130	$565,000	4	ACTIVE	2022-04-15
6375579	$551,000▲	17	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6373982	$550,000	21	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6363285	$550,000	43	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6378502	$549,999	11	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6382825	$540,000	2	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6376930	$540,000	14	ACTIVE	2022-04-15
6375294	$539,900	17	ACTIVE	2022-04-15
6355173	$649,900	61	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6375212	$639,900	17	ACTIVE	2022-04-15
6350834	$625,000	71	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6331019	$591,000	126	UCB (UNDER CONTRACT-BACKUPS)	2022-04-15
6369170	$525,072	30	ACTIVE	2022-04-15
