MLS	price	Days on Market	Status	date
6376556	$650,000	0	ACTIVE	2022-03-31
6375317	$650,000	2	ACTIVE	2022-03-31
6371035	$649,000	12	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6353333	$649,000▼	50	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6369431	$639,900	15	ACTIVE	2022-03-31
6362926	$630,000▼	29	ACTIVE	2022-03-31
6360396	$630,000	34	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6368919	$619,900▲	16	ACTIVE	2022-03-31
6353457	$618,000▼	50	ACTIVE	2022-03-31
6367688	$610,000	20	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-03-31
6370739	$600,000	13	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6368227	$599,900	17	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6362765	$599,000	29	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6363015	$599,000	29	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6374040	$585,000	6	ACTIVE	2022-03-31
6365734	$575,000	23	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6375333	$569,988	2	ACTIVE	2022-03-31
6367261	$559,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6364980	$550,000▲	24	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6371857	$535,000▼	10	ACTIVE	2022-03-31
6368283	$535,000	17	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6372839	$650,000▼	8	ACTIVE	2022-03-31
6356833	$650,000▲	42	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6376727	$645,000	0	ACTIVE	2022-03-31
6363139	$629,999	28	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6349986	$619,999	57	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6370047	$610,000	14	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6374646	$600,000	4	ACTIVE	2022-03-31
6361146	$600,000	33	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6366596	$599,900	21	ACTIVE	2022-03-31
6368935	$599,000	16	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6366593	$597,000▼	21	ACTIVE	2022-03-31
6372861	$595,000	8	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6367197	$589,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6334868	$586,000	98	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6372504	$575,000	8	ACTIVE	2022-03-31
6369624	$575,000	15	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6373982	$550,000	6	ACTIVE	2022-03-31
6363285	$550,000	28	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6376930	$540,000	0	ACTIVE	2022-03-31
6372850	$525,000	8	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6371365	$525,000	11	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6347487	$520,000	63	ACTIVE	2022-03-31
6333254	$505,000	104	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6355173	$649,900	46	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6375212	$639,900	2	ACTIVE	2022-03-31
6350834	$625,000	56	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6374790	$606,000	3	ACTIVE	2022-03-31
6331019	$591,000	111	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6351964	$589,000	54	UCB (UNDER CONTRACT-BACKUPS)	2022-03-31
6366584	$588,000▼	21	ACTIVE	2022-03-31
