MLS	price	Days on Market	Status	date
6376556	$650,000	1	ACTIVE	2022-04-01
6375317	$650,000	3	ACTIVE	2022-04-01
6353333	$649,000▼	51	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6368907	$640,000	17	ACTIVE	2022-04-01
6369431	$639,900	16	ACTIVE	2022-04-01
6375267	$630,000	3	ACTIVE	2022-04-01
6362926	$630,000▼	30	ACTIVE	2022-04-01
6360396	$630,000	35	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6368919	$619,900▲	17	ACTIVE	2022-04-01
6353457	$618,000▼	51	ACTIVE	2022-04-01
6367688	$610,000	21	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-01
6370739	$600,000	14	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6368227	$599,900	18	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6362765	$599,000	30	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6363015	$599,000	30	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6374040	$585,000	7	ACTIVE	2022-04-01
6377232	$580,000	0	ACTIVE	2022-04-01
6365734	$575,000	24	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6375333	$569,988	3	ACTIVE	2022-04-01
6367261	$559,000	21	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6375659	$550,000	3	ACTIVE	2022-04-01
6364980	$550,000▲	25	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6371857	$535,000▼	11	ACTIVE	2022-04-01
6368283	$535,000	18	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6372839	$650,000▼	9	ACTIVE	2022-04-01
6356833	$650,000▲	43	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6376727	$645,000	1	ACTIVE	2022-04-01
6363139	$629,999	29	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6377087	$625,000	0	ACTIVE	2022-04-01
6349986	$619,999	58	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6370047	$610,000	15	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6374646	$600,000	5	ACTIVE	2022-04-01
6361146	$600,000	34	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6366596	$599,900	22	ACTIVE	2022-04-01
6368935	$599,000	17	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6366593	$597,000▼	22	ACTIVE	2022-04-01
6372861	$595,000	9	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6367197	$589,000	21	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6334868	$586,000	99	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6372504	$575,000	9	ACTIVE	2022-04-01
6369624	$575,000	16	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6373787	$565,000	7	ACTIVE	2022-04-01
6373982	$550,000	7	ACTIVE	2022-04-01
6363285	$550,000	29	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6377336	$546,000	0	ACTIVE	2022-04-01
6376930	$540,000	1	ACTIVE	2022-04-01
6375579	$536,880	3	ACTIVE	2022-04-01
6377204	$525,000	0	ACTIVE	2022-04-01
6372850	$525,000	9	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6371365	$525,000	12	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6347487	$520,000	64	ACTIVE	2022-04-01
6333254	$505,000	105	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6355173	$649,900	47	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6375212	$639,900	3	ACTIVE	2022-04-01
6350834	$625,000	57	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6374790	$606,000	4	ACTIVE	2022-04-01
6331019	$591,000	112	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6351964	$589,000	55	UCB (UNDER CONTRACT-BACKUPS)	2022-04-01
6366584	$588,000▼	22	ACTIVE	2022-04-01
