MLS	address	baths	beds	sqft	City	Bedrooms	Bathrooms	Living SQFT	Lot Size	Subdivision	Year Built	Type
6380880	5940 S White Place, Chandler	2	4	2,511	Chandler	4	2	2,511	8,065	Shadow Ridge	2004	Single Family - Detached
6375317	2422 E Winged Foot Drive, Chandler	2.5	5	2,884	Chandler	5	2.5	2,884	7,509	Cooper Commons 2 Parcel 6	2000	Single Family - Detached
6353333	1263 W Lantana Drive, Chandler	2	4	2,116	Chandler	4	2	2,116	6,900	Stillwater Cove	1994	Single Family - Detached
6367688	683 N Butte Avenue, Chandler	2	4	2,188	Chandler	4	2	2,188	7,719	Park Promenade Parcel 1 Amd	1994	Single Family - Detached
6370739	4153 E Gleneagle Drive, Chandler	2	3	2,232	Chandler	3	2	2,232	9,409	Sun Groves Parcel 13 Thru 16	2005	Single Family - Detached
6368227	1200 W Seagull Drive, Chandler	3	4	2,097	Chandler	4	3	2,097	5,489	Clemente Ranch Parcel 19	1996	Single Family - Detached
6362765	1577 E Megan Street, Chandler	2.5	4	2,072	Chandler	4	2.5	2,072	11,626	Superstition Ranch-Parcel 2	1997	Single Family - Detached
6379721	6990 S Bell Place, Chandler	2	3	1,837	Chandler	3	2	1,837	10,337	Sun River Parcel C	2003	Single Family - Detached
6374040	1263 W Glenmere Drive, Chandler	2	4	1,908	Chandler	4	2	1,908	6,146	Crescent Village Lot 1-209 Tr A-C	1992	Single Family - Detached
6365734	1013 E Sheffield Avenue, Chandler	2	4	2,108	Chandler	4	2	2,108	9,230	Provinces Parcel 7	1994	Single Family - Detached
6367261	931 N Beck Court, Chandler	2	3	1,801	Chandler	3	2	1,801	5,991	Warner Ranch	1993	Single Family - Detached
6375659	13408 E Jupiter Way, Chandler	2	4	1,844	Chandler	4	2	1,844	7,131	Country Place At Chandler	1994	Single Family - Detached
6364980	638 E Springfield Place, Chandler	2.5	3	2,195	Chandler	3	2.5	2,195	3,878	Arizona Reflections Unit 2	2002	Single Family - Detached
6371857	1471 E Cindy Street, Chandler	2.5	3	1,875	Chandler	3	2.5	1,875	5,611	Springs Unit 2 Amd	1994	Single Family - Detached
6368283	821 E Kesler Lane, Chandler	2.75	4	2,167	Chandler	4	2.75	2,167	6,238	Monterey Vista	1995	Single Family - Detached
6372839	3120 E Redwood Court, Phoenix	2.5	4	2,153	Phoenix	4	2.5	2,153	9,087	Lakeside 21 Amd	1991	Single Family - Detached
6356833	14226 N 14th Street, Phoenix	3.5	5	4,272	Phoenix	5	3.5	4,272	10,622	Legacy At The Pointe Lot 1-67 Tr A-N	1994	Single Family - Detached
6380125	1548 E Villa Theresa Drive E, Phoenix	2	3	2,097	Phoenix	3	2	2,097	9,982	Stone Mountain Preserve	1999	Single Family - Detached
6363139	26816 N 64th Lane, Phoenix	3.5	5	2,547	Phoenix	5	3.5	2,547	6,506	Mountainview Ranch	2003	Single Family - Detached
6370353	4410 E Dry Creek Road, Phoenix	2.5	3	2,124	Phoenix	3	2.5	2,124	6,077	Crimson Mountain	1994	Single Family - Detached
6378335	29423 N 23rd Drive, Phoenix	2	4	1,844	Phoenix	4	2	1,844	5,358	North Gateway Pcd Functional Unit 1 Parcel 5	2008	Single Family - Detached
6379393	3814 E Tanglewood Drive, Phoenix	3	4	2,035	Phoenix	4	3	2,035	5,502	Hamilton Homes At Lakewood	1991	Single Family - Detached
6378236	16836 S 30th Avenue, Phoenix	2.5	4	2,343	Phoenix	4	2.5	2,343	5,885	Foothills Reserve Parcel C	2004	Single Family - Detached
6374646	3623 E Rocky Slope Drive, Phoenix	2.5	3	2,102	Phoenix	3	2.5	2,102	5,737	Mountain Park Ranch Unit 24	1996	Single Family - Detached
6366596	20860 N 8th Street, Phoenix	2	3	2,073	Phoenix	3	2	2,073	12,182	Arroyo Rojo	1999	Single Family - Detached
6368935	16621 S 39th Way, Phoenix	2	4	2,162	Phoenix	4	2	2,162	6,261	Wilton Commons Lot 1-133 Tr A-F	1992	Single Family - Detached
6366593	26735 N 65th Drive, Phoenix	2	3	1,845	Phoenix	3	2	1,845	7,496	Eagle Highlands North	2001	Single Family - Detached
6377368	1024 W Beverly Lane, Phoenix	2.5	4	2,111	Phoenix	4	2.5	2,111	8,432	Moonlight Cove 3	1994	Single Family - Detached
6367197	325 W Campo Bello Drive, Phoenix	2	3	2,210	Phoenix	3	2	2,210	7,116	Bellvue	1996	Single Family - Detached
6334868	6517 W Red Fox Road, Phoenix	2.5	5	2,230	Phoenix	5	2.5	2,230	6,250	Preserve At Boulder Mountain	2004	Single Family - Detached
6379781	729 E Glenhaven Drive, Phoenix	3	4	2,303	Phoenix	4	3	2,303	7,000	Foothills Parcels 12a, B & C	1995	Single Family - Detached
6372504	3043 E Redfield Road, Phoenix	3	4	2,117	Phoenix	4	3	2,117	6,829	Dreamstreet Lot 1-21	1999	Single Family - Detached
6369624	2624 W Summerside Road, Phoenix	2	3	2,416	Phoenix	3	2	2,416	9,668	Citrus Mountain Estates	2003	Single Family - Detached
6382130	2007 E Renee Drive, Phoenix	2	3	1,883	Phoenix	3	2	1,883	6,050	Mountain Rose Unit 3	1997	Single Family - Detached
6375579	2323 W Beverly Road, Phoenix	2	4	2,236	Phoenix	4	2	2,236	7,098	Silva Mountain Unit 1	2007	Single Family - Detached
6380990	1414 E Goldenrod Street, Phoenix	3	4	2,422	Phoenix	4	3	2,422	7,989	Foothills Parcel 9a Lot 1-67 Tr A-H	1993	Single Family - Detached
6373982	4548 E Thistle Landing Drive, Phoenix	2	3	1,817	Phoenix	3	2	1,817	5,597	Monarch Lot 1-215 Tr A-D	1993	Single Family - Detached
6363285	3832 E Carson Road, Phoenix	2	3	2,270	Phoenix	3	2	2,270	6,530	Pines At The Raven	2001	Single Family - Detached
6378502	1227 E Villa Rita Drive, Phoenix	2.5	5	2,183	Phoenix	5	2.5	2,183	4,788	Winds Of North Canyon Unit 2 Lot 163-227	1990	Single Family - Detached
6377336	7525 W Encinas Lane, Phoenix	2	4	2,019	Phoenix	4	2	2,019	8,239	Estrella Village Manor	2004	Single Family - Detached
6375294	2312 S 66th Lane, Phoenix	3.5	5	2,834	Phoenix	5	3.5	2,834	6,050	Arizona Meadows 2 At Terralea	2005	Single Family - Detached
6372850	2533 W Red Fox Road, Phoenix	2.5	4	2,206	Phoenix	4	2.5	2,206	5,280	Dynamite Mountain Ranch Section A2	2003	Single Family - Detached
6371365	42321 N 45th Drive, Phoenix	2.5	4	2,102	Phoenix	4	2.5	2,102	5,832	Anthem West Unit 1	2005	Single Family - Detached
6347487	8307 S 23rd Drive, Phoenix	2.5	4	2,326	Phoenix	4	2.5	2,326	6,325	Silva Mountain Unit 1	2010	Single Family - Detached
6355173	3928 S Pine Street, Tempe	3.5	5	2,580	Tempe	5	3.5	2,580	8,181	Tempe Gardens	1969	Single Family - Detached
6375212	1441 N El Camino Drive, Tempe	2.5	3	2,107	Tempe	3	2.5	2,107	9,261	Marlborough Park	1980	Single Family - Detached
6380343	965 E Drake Drive, Tempe	2	3	2,000	Tempe	3	2	2,000	8,729	Galleria 2	1986	Single Family - Detached
6350834	2715 S Rita Lane, Tempe	2	4	2,313	Tempe	4	2	2,313	8,760	Tempe Royal Palms Unit 1	1965	Single Family - Detached
6379666	1201 E Wesleyan Drive, Tempe	2	4	2,216	Tempe	4	2	2,216	8,041	Tempe Royal Palms Unit 3	1966	Single Family - Detached
6374790	1910 E Watson Drive, Tempe	2	4	2,237	Tempe	4	2	2,237	9,004	Continental East Unit 6	1972	Single Family - Detached
6331019	1236 E Loyola Drive, Tempe	2	5	2,545	Tempe	5	2	2,545	9,548	Tempe Royal Palms Unit 4	1967	Single Family - Detached
6366584	1425 E Libra Drive, Tempe	2	4	1,967	Tempe	4	2	1,967	8,803	Bradley Place	1978	Single Family - Detached
6380659	5362 S River Drive, Tempe	2	3	1,773	Tempe	3	2	1,773	7,723	Knoell Tempe	1974	Single Family - Detached
