MLS	price	Days on Market	Status	date
6380880	$650,000	6	ACTIVE	2022-04-14
6375317	$650,000	16	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6353333	$649,000▼	64	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6362513	$648,000▼	43	ACTIVE	2022-04-14
6362926	$630,000▼	43	ACTIVE	2022-04-14
6367688	$610,000	33	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-14
6370739	$600,000	27	ACTIVE	2022-04-14
6383493	$599,900	0	ACTIVE	2022-04-14
6368227	$599,900	31	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6362765	$599,000	43	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6379721	$592,900	8	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6374040	$585,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6365734	$575,000	37	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6367261	$559,000	34	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6375659	$550,000	15	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-14
6364980	$550,000▲	38	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6371857	$535,000▼	23	ACTIVE	2022-04-14
6368283	$535,000	31	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6372839	$650,000▼	21	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6356833	$650,000▲	56	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6380125	$649,900	7	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6383456	$640,000	0	ACTIVE	2022-04-14
6363139	$629,999	42	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6370353	$629,000	27	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6383237	$620,000	1	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6378335	$620,000	10	ACTIVE	2022-04-14
6379393	$619,900	8	ACTIVE	2022-04-14
6383537	$607,000	0	ACTIVE	2022-04-14
6382365	$600,000	2	ACTIVE	2022-04-14
6378236	$600,000	10	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6374646	$600,000	18	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6366596	$599,900	35	ACTIVE	2022-04-14
6383785	$599,000	0	ACTIVE	2022-04-14
6368935	$599,000	30	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6366593	$592,000▼	35	ACTIVE	2022-04-14
6377368	$589,900	13	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6367197	$589,000	34	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6334868	$586,000	112	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6379781	$584,990	7	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6382943	$575,000	1	ACTIVE	2022-04-14
6372504	$575,000	22	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6382130	$565,000	3	ACTIVE	2022-04-14
6375579	$551,000▲	16	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6373982	$550,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6363285	$550,000	42	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6378502	$549,999	10	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6382825	$540,000	1	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6375294	$539,900	16	ACTIVE	2022-04-14
6355173	$649,900	60	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6375212	$639,900	16	ACTIVE	2022-04-14
6350834	$625,000	70	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6331019	$591,000	125	UCB (UNDER CONTRACT-BACKUPS)	2022-04-14
6369170	$525,072	29	ACTIVE	2022-04-14
