MLS	price	Days on Market	Status	date
6375317	$650,000	7	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6353333	$649,000▼	55	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6353457	$618,000▼	55	ACTIVE	2022-04-05
6367688	$610,000	25	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-05
6370739	$600,000	18	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6368227	$599,900	22	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6376232	$599,000	6	ACTIVE	2022-04-05
6362765	$599,000	34	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6363015	$599,000	34	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6374040	$585,000	11	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6365734	$575,000	28	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6367261	$559,000	25	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6375659	$550,000	7	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-04-05
6364980	$550,000▲	29	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6368283	$535,000	22	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6378852	$650,000	0	ACTIVE	2022-04-05
6372839	$650,000▼	13	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6356833	$650,000▲	47	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6363139	$629,999	33	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6377087	$625,000	4	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6378335	$620,000	1	ACTIVE	2022-04-05
6370047	$610,000	19	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6374646	$600,000	9	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6361146	$600,000	38	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6366596	$599,900	26	ACTIVE	2022-04-05
6368935	$599,000	21	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6366593	$597,000▼	26	ACTIVE	2022-04-05
6372861	$595,000	13	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6367197	$589,000	25	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6334868	$586,000	103	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6372504	$575,000	13	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6369624	$575,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6375579	$551,000▲	7	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6373982	$550,000	11	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6363285	$550,000	33	ACTIVE	2022-04-05
6378502	$549,999	1	ACTIVE	2022-04-05
6377336	$546,000	4	ACTIVE	2022-04-05
6376930	$540,000	5	ACTIVE	2022-04-05
6372850	$525,000	13	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6371365	$525,000	16	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6347487	$520,000	68	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6333254	$505,000	109	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6355173	$649,900	51	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6378925	$640,000	0	ACTIVE	2022-04-05
6375212	$639,900	7	ACTIVE	2022-04-05
6350834	$625,000	61	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6374790	$606,000	8	ACTIVE	2022-04-05
6331019	$591,000	116	ACTIVE	2022-04-05
6351964	$589,000	59	UCB (UNDER CONTRACT-BACKUPS)	2022-04-05
6366584	$588,000▼	26	ACTIVE	2022-04-05
