MLS	price	Days on Market	Status	date
6373122	$650,000	4	ACTIVE	2022-03-28
6371035	$649,000	9	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6353333	$649,000▼	47	ACTIVE	2022-03-28
6362926	$630,000▼	26	ACTIVE	2022-03-28
6360396	$630,000	31	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6362187	$625,900	27	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6353098	$624,900	48	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6353457	$618,000▼	47	ACTIVE	2022-03-28
6367688	$610,000	17	CCBS (CONTRACT CONTINGENT ON BUYER SALE)	2022-03-28
6370739	$600,000	10	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6368919	$599,900▼	13	ACTIVE	2022-03-28
6368227	$599,900	14	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6362765	$599,000	26	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6363015	$599,000	26	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6365734	$575,000	20	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6367261	$559,000	17	ACTIVE	2022-03-28
6364980	$550,000▲	21	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6360045	$550,000	32	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6371857	$535,000▼	7	ACTIVE	2022-03-28
6368283	$535,000	14	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6341769	$525,000▼	74	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6356833	$650,000▲	39	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6356064	$640,000	41	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6363139	$629,999	25	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6349986	$619,999	54	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6370047	$610,000	11	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6366593	$601,000	18	ACTIVE	2022-03-28
6361146	$600,000	30	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6366596	$599,900	18	ACTIVE	2022-03-28
6368935	$599,000	13	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6372861	$595,000	5	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6372510	$590,000	5	ACTIVE	2022-03-28
6356821	$589,900	39	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6367197	$589,000	17	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6334868	$586,000	95	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6332851	$585,000	102	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6369624	$575,000	12	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6363285	$550,000	25	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6372850	$525,000	5	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6371365	$525,000	8	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6347487	$520,000	60	ACTIVE	2022-03-28
6366917	$515,000▼	18	ACTIVE	2022-03-28
6333254	$505,000	101	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6355173	$649,900	43	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6350834	$625,000	53	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6374790	$606,000	0	ACTIVE	2022-03-28
6366584	$600,000	18	ACTIVE	2022-03-28
6331019	$591,000	108	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
6351964	$589,000	51	UCB (UNDER CONTRACT-BACKUPS)	2022-03-28
